"SAMAccountName","LastLogonDate"
"_Clinical",
"_Communications",
"_SocialEnterpriseAss",
"_SocialEnterprisePri",
"rachelet","10/24/2019 6:46:53 PM"
"rachelk","5/24/2018 11:47:29 AM"
"RachelL","3/3/2017 11:18:29 PM"
"rafep","7/26/2018 11:24:58 AM"
"raphaellec","5/18/2016 1:01:51 PM"
"ReannaG","11/26/2019 7:09:48 AM"
"rebeccab",
"rebeccag","11/18/2019 8:46:53 AM"
"RebeccaR","11/21/2019 3:54:13 PM"
"RebekahS","5/2/2017 8:01:03 AM"
"RebekkahC","10/12/2015 11:07:41 AM"
"refugios","4/12/2017 10:21:42 AM"
"relion","11/21/2019 11:38:48 AM"
"residentmanager","11/21/2019 6:21:57 AM"
"RickeyL","11/20/2019 6:53:31 AM"
"ritac","9/17/2019 8:45:14 AM"
"RobinI",
"robinm","1/2/2016 6:29:09 AM"
"rochellec",
"rociof",
"RoderickM","11/18/2019 9:55:11 AM"
"rosariot","11/26/2019 6:55:58 AM"
"royk","4/17/2018 11:23:35 AM"
"samanthal","11/6/2015 1:05:03 PM"
"SandraD","11/18/2019 8:53:26 AM"
"SandraK","2/1/2016 7:21:04 AM"
"SandraS","12/11/2017 11:00:37 PM"
"sarahb","11/18/2019 9:49:35 AM"
"sarahc","4/29/2017 12:01:29 PM"
"sarahe","11/22/2017 1:46:22 PM"
"scan","7/23/2018 8:46:47 AM"
"schaffin","9/20/2017 2:48:52 PM"
"sergek","12/30/2016 2:41:55 PM"
"sergiov",
"services","11/25/2019 4:43:08 PM"
"ShaliseR","10/2/2017 2:58:35 PM"
"shaniceb","11/18/2019 4:12:17 PM"
"shannons","7/20/2017 8:05:26 AM"
"sharikak","4/11/2016 12:59:08 PM"
"sharil","11/19/2015 3:31:38 PM"
"sharonm","12/19/2016 9:10:04 AM"
"ShawneaW","7/24/2017 11:10:23 AM"
"sheilag","11/15/2019 5:04:16 PM"
"shenetteh","11/25/2019 4:13:53 PM"
"shirenam",
"ShirleyC","11/21/2019 8:04:17 AM"
"ShirleyM","7/24/2017 8:24:17 AM"
"shoshanah","9/5/2016 11:22:39 AM"
"ShreyaB","8/1/2017 10:12:47 AM"
"sidneyh","11/20/2019 9:41:45 AM"
"silvial","11/25/2019 10:18:30 AM"
"sonjej","11/18/2019 2:56:40 PM"
"spencerc","11/22/2019 7:11:24 AM"
"StaceyH","12/17/2016 6:15:21 AM"
"stephaniec","4/14/2017 8:52:52 AM"
"stephanieg",
"stephaniep","8/16/2016 8:58:15 AM"
"stephanies","7/24/2017 9:13:06 AM"
"store","6/19/2013 12:45:10 PM"
"stuartj","11/26/2019 7:48:19 AM"
"SusanK","8/15/2019 11:21:03 AM"
"susano","4/4/2016 6:01:36 AM"
"sylviar","12/22/2015 10:44:34 AM"
"sylviav","1/2/2019 12:19:41 PM"
"talayam","1/29/2016 9:39:33 AM"
"tamaraet","11/21/2019 2:01:01 PM"
"tamarah",
"tammiem",
"tanjad","6/13/2018 9:07:44 AM"
"taral","12/17/2015 9:45:44 AM"
"TeresaR","5/3/2017 8:02:33 AM"
"tesfaiy","8/15/2019 9:22:26 AM"
"testcopy",
"ThurlowA","8/16/2017 2:17:28 PM"
"tiaj","11/20/2017 9:29:56 AM"
"TiannaT","10/24/2019 3:27:03 PM"
"tiffanyb","6/20/2018 2:44:29 PM"
"torrim","7/17/2018 8:25:42 AM"
"traceyw","11/26/2019 9:50:18 AM"
"tracking",
"tracym","12/22/2017 9:56:36 AM"
"tracyt",
"trinen","11/29/2017 6:58:23 AM"
"tylerb","4/26/2016 4:13:43 PM"
"vanessaf","11/26/2019 11:15:13 AM"
"vanessag","11/24/2019 12:06:25 AM"
"VanessaP","12/31/2015 8:42:20 AM"
"vanessas","2/27/2016 12:36:32 PM"
"vanessaw","10/30/2013 9:55:56 AM"
"veenam","5/19/2015 9:47:29 AM"
"veliciab","10/15/2019 9:20:45 AM"
"veronicat","6/6/2016 11:19:57 AM"
"vgallardo","1/29/2018 8:25:42 AM"
"VictoriaE","2/13/2017 8:18:54 AM"
"victoriah","2/19/2019 8:08:27 AM"
"victorias",
"vilad","10/29/2019 8:57:36 AM"
"violeto",
"VivianB","12/8/2015 12:31:19 PM"
"volunteer","11/21/2019 2:30:09 PM"
"volunteer1",
"volunteerguest","6/18/2012 6:01:01 PM"
"vpena","11/27/2017 8:03:35 AM"
"WendyJ","9/20/2017 8:29:07 AM"
"wendyp","11/18/2019 10:40:58 AM"
"wft1",
"wynnet","2/5/2019 10:04:25 AM"
"yadirac","1/20/2017 4:26:02 PM"
"yamilettv","11/22/2019 9:36:53 AM"
"yolondar","11/26/2018 8:23:23 AM"
"young-ink","8/31/2015 9:17:41 AM"
"yuraimam","11/16/2019 8:52:06 AM"
"Yvettem","3/2/2012 10:02:49 AM"
"zarinag","11/18/2019 9:06:44 AM"
"zaydag","12/9/2017 2:22:04 PM"
"ZchodaeS","9/25/2018 9:07:50 AM"
"zipporahb",
"ZoeW","11/25/2019 8:57:35 AM"
